DATAFLOW,LAST UPDATE,freq,deg_urb,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y18-44,PC,EU28,2014,3.8,e
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y18-44,PC,FI,2014,5.9,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y18-44,PC,HR,2014,0,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y18-44,PC,HU,2014,0.7,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y18-44,PC,IE,2014,9.0,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y18-44,PC,IS,2014,1.6,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y18-44,PC,IT,2014,1.5,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y18-44,PC,LT,2014,2.5,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y18-44,PC,LU,2014,4.1,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y18-44,PC,LV,2014,3.0,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y18-44,PC,MT,2014,3.1,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y18-44,PC,NO,2014,3.0,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y18-44,PC,PL,2014,4.2,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y18-44,PC,PT,2014,0.9,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y18-44,PC,RO,2014,0.0,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y18-44,PC,SE,2014,1.9,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y18-44,PC,SI,2014,0,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y18-44,PC,SK,2014,1.1,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y18-44,PC,TR,2014,0,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y18-44,PC,UK,2014,12.8,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y18-64,PC,AT,2014,1.1,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y18-64,PC,BE,2014,3.8,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y18-64,PC,BG,2014,1.5,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y18-64,PC,CY,2014,0.1,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y18-64,PC,CZ,2014,1.4,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y18-64,PC,DE,2014,5.3,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y18-64,PC,DK,2014,7.8,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y18-64,PC,EE,2014,0.2,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y18-64,PC,EL,2014,0.8,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y18-64,PC,ES,2014,1.4,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y18-64,PC,EU27_2020,2014,2.4,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y18-64,PC,EU28,2014,4.3,e
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y18-64,PC,FI,2014,7.0,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y18-64,PC,HR,2014,0,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y18-64,PC,HU,2014,1.1,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y18-64,PC,IE,2014,9.4,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y18-64,PC,IS,2014,1.3,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y18-64,PC,IT,2014,3.3,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y18-64,PC,LT,2014,2.5,
ESTAT:HLTH_EHIS_AL2U(1.0),21/03/19 23:00:00,A,DEG1,F,Y18-64,PC,LU,2014,5.1,
