DATAFLOW,LAST UPDATE,freq,unit,quant_inc,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-64,IT,2014,1.5,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-64,LT,2014,2.1,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-64,LU,2014,4.4,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-64,LV,2014,1.8,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-64,MT,2014,2.3,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-64,NO,2014,2.9,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-64,PL,2014,1.0,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-64,PT,2014,0.9,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-64,RO,2014,1.0,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-64,SE,2014,2.2,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-64,SI,2014,0.5,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-64,SK,2014,0.4,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-64,TR,2014,0.2,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y15-64,UK,2014,10.6,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-24,AT,2014,2.9,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-24,BE,2014,2.4,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-24,BG,2014,1.2,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-24,CY,2014,0,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-24,CZ,2014,2.4,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-24,DE,2014,4.7,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-24,DK,2014,6.5,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-24,EE,2014,2.0,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-24,EL,2014,0.3,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-24,ES,2014,0.1,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-24,EU27_2020,2014,2.2,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-24,EU28,2014,3.0,e
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-24,FI,2014,9.3,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-24,HR,2014,0,u
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-24,HU,2014,0,u
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-24,IE,2014,15.2,u
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-24,IS,2014,1.8,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-24,IT,2014,0.5,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-24,LT,2014,0,u
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-24,LU,2014,12.1,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-24,LV,2014,6.7,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-24,MT,2014,,u
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-24,NO,2014,3.1,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-24,PL,2014,1.9,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-24,PT,2014,0.3,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-24,RO,2014,0.6,
ESTAT:HLTH_EHIS_AL2I(1.0),21/03/19 23:00:00,A,PC,QU1,F,Y18-24,SE,2014,2.7,
